,full_text,tweet_english
0,mudah mudah darah baru energik menang mudah mudah andika menang mudah mudah menang mudah mudah menang,easy easy new blood energetic win easy easy andika win easy easy win easy easy win
1,anak fufufafa,son of fufufafa
2,top lah jangan ragu komitmen pks indonesia banget dah,"top, don't hesitate, the commitment of Indonesian pks is really"
3,kalau nyarik kerja daerah masing masing jangan lompat provinsi,"if you work in your respective area, don't jump provinces"
4,anjing tetap anjing apa wujud status,dog fixed dog what is the status
5,pak kalau mau guna hak pilih baik waktu akhir coblos karena pasti blowup media di framing ut jadi berita pengaruh pilih di jakarta,sir if you want to use the right to vote well at the end of coblos because it's definitely a media blowup in the ut framing so it's news of the influence of voting in jakarta
6,fitnah sekarangbila ng minoritas kuno itu sama,slander now when ng ancient minority is the same
7,sengaak loe,sengaak loe
8,ada skenario,there are scenarios
9,percuma lae biar pilih major minor pake naluri nalar feeling masing mungkin lae betul apa jujur semua penting kasih saran orang parpol pulak,free lae let you choose major minor using your gut instinct maybe lae is right what is honest all important is to give advice to political parties
10,ngga ada sudi pilih partai urus jilat pantat tedd jadi boneka keset sdh takdir kok,no one is willing to choose a party to lick tedd's ass to be a doormat doll sdh destiny really
11,waktu tulis surat himbauan dp gerindra khan kawal pempres jadi ngga apa2 khan hari libur bagai oknum khan jadi ngga apa2lah saat2 tindak sbg anggora solo si mul ngga yang salah singa asia jadi puss meong kok,at the time of writing the appeal letter dp gerindra khan escort the president so it's okay khan holidays like oknum khan so it's okay when the act as a solo Angora si mul is not wrong Asian lion so puss meow kok
12,masalah wat lo,wat lo problem
13,yg gak bakal milih rido,who will not choose rido
14,males pilih paslon dukung jkw,males choose paslon support jkw
15,apasih gajelas banget,apasih gajelaset
16,mah rela ngapain joged joged nungging dia sedia krna jiwany memang jiwa lacur,mah willing to do jogged jogged nungging he was ready krna jiwany was indeed a prostitute soul
17,sekarang masa pilih ngga usah lihat partai masyarakat cerdas negara milik rakyat pilih baik yang baik akhlak baik kompeten berintegitas bela penting rakyat saja sih,now the election period do not need to see the intelligent society party of the state owned by the people choose good good morals competent with the integrity of the people's important defense
18,awowkwokwowiwkwowiwwi,awowkwokwowiwkwowiwwi
19,anda gak salah masyarakat tau atur punya etika itu salah anda etika ndasmu paham,you are not wrong people know set have ethics it's your fault ethics ndasmu understand
20,hibur diri orang kaya nya padahal galau asa nya,comfort the rich even though they are in despair
21,dulu nama teddybanyak dongok yah bener,"used to be the name teddybanyak dongok, right?"
22,berbusa2 promosiin pasang becandanya soal janda bangah gak masuk kita bangitu pasang buat cuma buat ngamanin proyek giant sea wall kayaknyayuk ah jujur,foaming 2 promotions put up the becanda about the widow of bangah not entering us bangitu put up for just to secure the giant sea wall project like it's kayakyuk ah honest
23,iya sihtapi banci kaleng,yes but canned sissies
24,taek,taek
25,yng sala bro pak prabowo bukan cuma presiden partai gerindra jang kau buat martabat rendah medsos harga beliauw presidan harus anda bisa beda mana surat internal mana surat di sebar publik oke orang pintar,yng sala bro pak prabowo not only the president of the gerindra party jang you make low dignity social media diaw price presidan you can be different where the internal letter where the letter is spread publicly okay smart people
26,mau mainin sara,want to play with Sara
27,rakyat jakarta jangan pilih calon afiliasi mulyono,people of jakarta do not choose mulyono affiliate candidates
28,doa dukung ridwan kamil suswono dki jakarta,prayer support ridwan kamil suswono dki jakarta
29,semua dasar instruksi sang sutradara politik,all the basic instructions of the political director
30,si riziek kau sebut,si riziek you say
31,partai malinng sekutu pilkada dki ygg dukung kelompokkk maling hobi miras jjudi online korupttor uang negara fan mau sogok cukong zionis cinna,party malinng ally election dki ygg support groupkk burglary hobby liquor online gambling corruptor money state fan want bribe cukong zionis cinna
32,sakarepmu pak mau bawa nkri but remember jangan pernah korupsi bodoh rakyat rakyat apa rakyat cuma jadi tonton,sakarepmu sir want to bring nkri but remember never corruption stupid people what people just watch
33,selamat,congratulations
34,pakai kata bye tau sulit tahan argumen,use the word bye you know it's hard to hold the argument
35,kakek teddy izin tanya kalau ada salah surat dan tuju lantas ditake down,teddy's grandfather asked if there was a wrong letter and the direction was then taken down
36,selamat,congratulations
37,selamat,congratulations
38,selamat,congratulations
39,lihat skrg ahokers anak abah sdh satu tidak sebut minoritas atau mayoritas lupa jadi pilkada 2017 satu damai jakarta harus dan tim ajar mereka bukan cari benar ada,see now ahokers children abah sdh one did not mention a minority or the majority forgot to be the 2017 elections a peaceful one jakarta must be and their teaching team is not really looking for there
40,kayak atas baju koboi bawah pake sarung,kayaking on a cowboy shirt under a sarong
41,ikut arus bantu lihat situasi tidak salah ambil putus amp lang jalan hidup ada tentu kita ikut arus ikut arus bilang taruh segala ada imbal,go with the flow help see the situation is not wrong take break & lang way of life there is of course we go with the flow go with the flow say put everything there is a reward
42,halah cengkuneknya,halah clove
43,adatednggak usah nang lahorang ludah depan orang atur melarangtapi kalau laku nama tidak etika,adatedndon 't need to spit in front of people set prohibitsbut if the behavior of the name is not ethical
44,jakarta ngga rido,jakarta no rido
45,si emang ondel2nya kaya udh dicuekin elektabilitas jelek,the ondel2 is rich udh cheated by poor electability
46,gmn nih kang,gmn nih kang
47,awas kt tipu lg,beware kt liars lg
48,emang lu ted perintah apa sih juru bicara cuma upaya cari muka bisa,emang lu ted order what the hell is the spokesperson just trying to find the face can
49,masalah bukan soal sanksi meski langgar bawaslu berani panggil nya wong klu semua punya integritas konsisten tidak akan yang nama orang gibran jadi wapres hubung semua takut gak makan serta keluarga jadi begini,"the problem is not a matter of sanctions even though breaking subordinates dares to call it wong klu all have consistent integrity will not be the name of a gibran person to be vice president, all are afraid not to eat and the family is like this"
50,emang anda pinter mana pinter kena do kampus ruko,emang you pinter mana pinter got to do campus shophouse
51,isi otak lu salahisi laler semua,contents of your brain mistake laler all
52,lebih cities skyiline bang,more cities skyiline bang
53,tenggelam dukung mulyonoawokawokawok,sink support mulyonoawokawokawok
54,insyaallah sunatullah bakal laku orangorang akal kuasa dipergikirkan pimpin lebih siap peduli jelas keberpihakannta rakyat,inshallah sunatullah will be people's behavior sense of power is thought to be more ready to care clearly about the people's partisanship
55,insyaallah pasang rido amp suswono pimpin dkj 5 thn depan dukung 3 mantan presiden ri al amp aamiin yaa robbalalamin,insyaallah pairs rido amp suswono pimpin DKJ 5 years ahead support 3 former presidents ri al amp aamiin yaa robbalalamin
56,alas pilih pilkada jakarta,election selection mat for jakarta
57,saat tumbang kuasa banteng jakarta terlalu lama kuasa bikin sengasara,when the power of the Jakarta bull fell for too long the power to make it run
58,sakarepmu pak mau bawa nkri but remember jangan pernah korupsi bodoh rakyat rakyat apa rakyat cuma jadi tonton,sakarepmu sir want to bring nkri but remember never corruption stupid people what people just watch
59,jangan lupa besok satu1n jakarta,don't forget tomorrow one1n jakarta
60,heh kau canda lu lucu,heh you're joking you're funny
61,alert terlalu lama kuasa dipergikirkan yang lebih siap milik peduli rakyatbegitulah sunatullah,"alert for too long the power is thought to be more ready to belong to the care of the people, that's sunatullah"
62,putus apa untung paslon,break up what are the benefits of paslon
63,0437 belum jawab sama beliau wkwkwkwk,0437 hasn't answered him yet wkwkwkwk
64,masyarakat dki bodoh bin tolol sj milih cagub tranferan apa lg rekam jejak mungkin lupa sj guna jersi biru,people dki stupid bin moron sj milih cagub tranferan apa lg track record may forget sj use blue jersey
65,udah bang depan nya jangan milu lah ribet kalau baris sakit hati ikut bisa hemat anggar negara,already bang ahead don't be complicated if the line hurts you can also save on state fencing
66,siapa loe ajak ajak,who are you asking
67,emang songong otak pinterr leceh wanita seperti lahir batu,eang songong cerebral pinterr harass women like born stones
68,sorry bang sampe mati aku gak sudih milih orang dukung mulyono aku najis,sorry bang until I die I'm not sudih milih people support mulyono I'm unclean
69,imajinasi tu wkwkwkwk kata gua sih mending download sim city nyalonin jadi gubernur pak,imagination is wkwkwkwk said sih mending cave download sim city nyalonin become governor sir
70,ini bagaimana sih nanya minta tunjuk salah dan jawab rujuk uujawabnya ini jawab dong tafsir anda apa jelas uu sebut bukan malah sila ptun,this is how the hell do you ask to show wrong and answer refer to uujawabnya this answers your interpretation dong what is clear uu say not even please ptun
71,pns kades tni polri dong dalih misal kampanye bukan saat jam kerja mereka tindak ketua paguyuban mislanya kan bisa gtu anjirrusak hukum kalau diakalin mmng kaum 58 ni rusak dungu,"pns kades tni polri dong pretexts for example the campaign is not during their working hours the actions of the chairman of the association, for example, can it be gtu anjirrusak law if it is made by mmng people 58 this is broken stupid"
